"gene_id","region","isoform_id","correlation_repif","correlation_raw","p_value_repif","p_value_raw","n","adj_p_value_repif","adj_p_value_raw","tissue"
"Ank3","gene_body","NM_170729",0.90965059602361,0.957403512714857,0.00172112619022066,0.000187103721067194,8,0.0543190936400176,0.0383675972508641,"ForeBrain"
"Ankrd10","gene_body","NR_030781",-0.934657326993127,-0.941929603867539,0.000663743673704629,0.000468484250927008,8,0.0409444844296338,0.0456985092040618,"ForeBrain"
"Ankrd6","gene_body","NM_001012451",-0.960498998079587,-0.593340290244187,0.000149557550226424,0.121018550918389,8,0.0297176391468432,0.337455574676278,"ForeBrain"
"Ankrd6","gene_body","NM_080471",0.940351201767997,0.932471948033623,0.000507120084247195,0.00073136409326343,8,0.0400102831174441,0.0496123881882797,"ForeBrain"
"Anks1b","gene_body","NM_181398",-0.057730969028934,-0.948714116653087,0.891994704484766,0.00032439716830302,8,0.952984849410647,0.0386753512876823,"ForeBrain"
"Ap1b1","gene_body","NM_001243043",-0.934452804568259,-0.900862832854799,0.000669890582574209,0.00225832325012603,8,0.0409444844296338,0.0545205165338144,"ForeBrain"
"Ap1b1","gene_body","NM_007454",0.938176466959994,0.0737898182518392,0.000563694066125517,0.862145496565948,8,0.0408997814989829,0.945311790123914,"ForeBrain"
"Ap2b1","gene_body","NM_001035854",-0.948765349268668,-0.716736208959343,0.000323438612850897,0.0454338373294879,8,0.0351170057249657,0.202599884224665,"ForeBrain"
"Ap2b1","gene_body","NM_027915",0.948765349268668,0.760399756944539,0.000323438612850895,0.028504255713806,8,0.0351170057249657,0.160467294758205,"ForeBrain"
"App","gene_body","NM_001198823",0.927350006306313,0.59476354284489,0.000907146695252187,0.119901098105645,8,0.0440262633818279,0.33486173416803,"ForeBrain"
"App","gene_body","NM_007471",-0.911968415509283,-0.963526463341467,0.00159489323786638,0.000118009513543963,8,0.0537803312819645,0.0383675972508641,"ForeBrain"
"Arhgap21","gene_body","NM_001081364",0.924918865444799,0.816251929965682,0.000999425481075104,0.0134509947693838,8,0.0443727407791295,0.112933625880664,"ForeBrain"
"Arhgap21","gene_body","NM_001128084",-0.924918865444798,-0.148394149330476,0.000999425481075114,0.725818687180423,8,0.0443727407791295,0.85809106582701,"ForeBrain"
"Arpp21","gene_body","NM_001177616",-0.698609810935403,-0.95113706443979,0.0539043167055547,0.000281077097541148,8,0.240788312175031,0.0383675972508641,"ForeBrain"
"Arvcf","gene_body","NM_001272032",0.991404190745693,0.919653123179773,1.57759769803388e-06,0.00121983736264308,8,0.00807158199300943,0.05069094593644,"ForeBrain"
"Arvcf","gene_body","NM_033474",-0.981803809547211,-0.933795187725034,1.48571532866697e-05,0.00068990764936735,8,0.0187017672181655,0.0496123881882797,"ForeBrain"
"Atp11c","gene_body","NM_001001798",-0.955519426079546,-0.563654957933078,0.00021273994430172,0.145658039472995,8,0.0313779378023223,0.3738162651024,"ForeBrain"
"Atp11c","gene_body","NM_001037863",0.955519426079546,0.914352862214586,0.00021273994430172,0.00147148407858343,8,0.0313779378023223,0.05069094593644,"ForeBrain"
"Atp2b2","gene_body","NM_001036684",-0.00943271577333927,-0.931040998347826,0.982314707005129,0.000777994263109025,8,0.993660728095158,0.0496123881882797,"ForeBrain"
"Atp6v0a1","gene_body","NM_001243051",0.930638168493695,-0.884012504539089,0.000791463145563597,0.0035695016983199,8,0.0437752554221515,0.0639914609864655,"ForeBrain"
"Atp6v0a1","gene_body","NM_016920",-0.909361136316879,-0.945634144544656,0.00173733206726647,0.000385513981147578,8,0.0543190936400176,0.0422098471195256,"ForeBrain"
"Baiap2","gene_body","NM_130862",-0.939702242188729,-0.885195052087957,0.00052359236119293,0.00346463295543046,8,0.0407112031565228,0.0639913941007878,"ForeBrain"
"Bcas3","gene_body","NM_001166642",0.932173059761864,0.925017150822529,0.00074094835228315,0.000995581066460457,8,0.0422892330850968,0.05069094593644,"ForeBrain"
